T[s],confidence,x1,y1,x2,y2,left-motor,right-motor
1,0,0,0,0,0,80,80
2,0,0,0,0,0,80,80
3,0,0,0,0,0,80,80
4,0,0,0,0,0,80,80
5,0.7166243813378133,466,325,302,613,-43,-8
6,0,0,0,0,0,80,80
7,0.6115539020166715,464,58,606,463,69,-29
8,0.9491729665203441,142,263,468,379,85,-54
9,0.8730239606254788,438,595,26,413,84,-4
10,0,0,0,0,0,80,80
11,0.6333443262416929,342,39,190,506,39,-7
12,0,0,0,0,0,80,80
13,0.9442128818777024,243,573,428,553,-17,68
14,0.8034252120582271,209,347,398,599,97,1
15,0,0,0,0,0,80,80
16,0,0,0,0,0,80,80
17,0,0,0,0,0,80,80
18,0,0,0,0,0,80,80
19,0,0,0,0,0,80,80
20,0.9381037546619013,113,589,587,139,99,-10
21,0,0,0,0,0,80,80
22,0.6067253177324895,230,169,287,616,40,88
23,0,0,0,0,0,80,80
24,0,0,0,0,0,80,80
25,0.8064006652435276,376,411,97,520,43,-4
26,0,0,0,0,0,80,80
27,0,0,0,0,0,80,80
28,0,0,0,0,0,80,80
29,0,0,0,0,0,80,80
30,0,0,0,0,0,80,80
31,0,0,0,0,0,80,80
32,0.732223317961381,324,436,449,25,-4,91
33,0.8588090805516347,305,451,2,318,47,-3
34,0.65346143489317,418,318,152,118,-82,-11
35,0,0,0,0,0,80,80
36,0,0,0,0,0,80,80
37,0.9592176964563087,190,23,416,31,16,49
38,0,0,0,0,0,80,80
39,0,0,0,0,0,80,80
40,0,0,0,0,0,80,80
41,0,0,0,0,0,80,80
42,0.8554310560513124,285,432,240,38,47,35
43,0.9701989297596251,8,556,169,354,7,9
44,0,0,0,0,0,80,80
45,0,0,0,0,0,80,80
46,0,0,0,0,0,80,80
47,0,0,0,0,0,80,80
48,0,0,0,0,0,80,80
49,0,0,0,0,0,80,80
50,0,0,0,0,0,80,80
51,0.7208552325411521,45,445,419,147,78,-73
52,0,0,0,0,0,80,80
53,0.6330038962545063,147,432,36,459,-69,29
54,0,0,0,0,0,80,80
55,0,0,0,0,0,80,80
56,0,0,0,0,0,80,80
57,0.8537271278614924,117,223,30,202,-15,-71
58,0.7470366943821878,48,594,550,600,-79,31
59,0.8554668647447271,342,83,52,521,7,30
60,0,0,0,0,0,80,80
61,0,0,0,0,0,80,80
62,0,0,0,0,0,80,80
63,0,0,0,0,0,80,80
64,0,0,0,0,0,80,80
65,0,0,0,0,0,80,80
66,0.760572131208698,136,106,466,260,33,-46
67,0,0,0,0,0,80,80
68,0,0,0,0,0,80,80
69,0,0,0,0,0,80,80
70,0.7896951509599095,0,619,330,81,49,-97
71,0,0,0,0,0,80,80
72,0,0,0,0,0,80,80
73,0.6859799627969381,144,137,499,189,-58,56
74,0.7931769795040355,587,29,341,603,47,-37
75,0,0,0,0,0,80,80
76,0,0,0,0,0,80,80
77,0,0,0,0,0,80,80
78,0,0,0,0,0,80,80
79,0,0,0,0,0,80,80
80,0,0,0,0,0,80,80
81,0,0,0,0,0,80,80
82,0.8815961703757133,409,477,238,425,-7,-71
83,0.9156155226890382,147,432,366,577,-12,29
84,0,0,0,0,0,80,80
85,0.762406649622577,407,241,66,377,72,2
86,0,0,0,0,0,80,80
87,0.7164573183608197,8,378,561,228,49,100
88,0,0,0,0,0,80,80
89,0,0,0,0,0,80,80
90,0.8526859668848005,208,300,532,168,-76,69
91,0.6311040965800815,415,216,595,302,-52,-76
92,0.9050537839438109,525,512,463,388,-65,-91
93,0,0,0,0,0,80,80
94,0.87958570607654,620,405,384,281,-90,-51
95,0,0,0,0,0,80,80
96,0,0,0,0,0,80,80
97,0,0,0,0,0,80,80
98,0,0,0,0,0,80,80
99,0,0,0,0,0,80,80
100,0,0,0,0,0,80,80
