T[s],confidence,x1,y1,x2,y2,left-motor,right-motor
1,0.5736928696536312,43,401,65,484,-100,88
2,0.7190053504075197,281,310,66,38,-52,-50
3,0.46482068376314356,348,494,234,198,55,13
4,0.8891997533166872,372,607,543,120,-7,83
5,0.43244832833384406,600,33,456,161,-75,24
6,0.7901258610521855,472,538,121,16,54,-7
7,0.8170906267702787,198,72,163,568,-85,-56
8,0.12321698764501754,301,24,481,95,65,-69
9,0.9937069565889374,510,87,458,246,61,-26
10,0.6691450587031215,244,517,406,615,-10,-65
11,0.28039713861319526,347,41,278,10,31,-62
12,0.6909419076502765,556,341,334,534,70,19
13,0.5360819616665892,106,477,264,226,20,72
14,0.5198030045119368,278,197,302,254,-46,-51
15,0.2385274522222709,89,233,74,69,-25,-87
16,0.9209577384198152,156,4,275,157,61,-69
17,0.8014449012462206,407,535,147,120,1,-29
18,0.7440834374808495,187,472,114,422,-63,94
19,0.02467099061476663,175,419,150,230,-1,-37
20,0.8842490084535367,609,315,592,518,-62,-54
21,0.1608237698755426,214,156,572,196,87,20
22,0.39797576990649297,425,566,331,387,-14,18
23,0.2981654073343619,268,374,427,81,-49,25
24,0.8309125894634481,172,343,523,69,65,-20
25,0.62258156520637,226,95,509,288,-77,66
26,0.9865682806017729,69,192,34,306,19,-27
27,0.02720540131119409,350,154,362,509,-77,-19
28,0.8061985894637981,383,335,248,173,19,-87
29,0.4981394025680632,213,381,129,479,96,61
30,0.24988584711215434,381,512,561,365,-100,52
31,0.6864956816541254,134,217,237,364,32,46
32,0.6613075186779258,60,605,506,154,-63,-11
33,0.35166878950187774,401,210,603,14,-90,-17
34,0.327743933838469,349,175,426,198,-86,54
35,0.628507804225603,46,388,433,446,-95,33
36,0.9250050067967719,547,460,294,335,94,52
37,0.5730007528612188,497,315,593,130,69,-88
38,0.4954898754095527,254,398,221,100,-85,-15
39,0.6333446343205089,580,442,118,250,92,-36
40,0.6776125941906621,112,394,409,452,-29,7
41,0.6444713504692535,214,564,597,361,11,12
42,0.4443516049166858,295,488,154,600,-14,91
43,0.21878130510871807,202,407,184,140,43,59
44,0.22387379083000003,163,26,447,42,-10,96
45,0.9396595854753864,320,458,385,124,93,16
46,0.001177344470634334,383,183,594,21,-39,-56
47,0.7655292397339691,19,454,442,52,41,90
48,0.5702476545950631,67,360,391,531,87,45
49,0.6564052658866639,499,89,553,26,68,59
50,0.05973916558987069,512,610,578,60,14,-17
51,0.4156810673523582,468,599,547,273,35,-48
52,0.5217583506595864,444,466,396,20,-21,-7
53,0.953019584928473,237,318,466,105,48,-54
54,0.5666516685973427,106,346,1,113,-15,6
55,0.8897590567065835,31,119,547,582,-54,-67
56,0.8815585640605822,599,615,529,16,97,-82
57,0.4320833521393317,287,332,520,265,-9,86
58,0.3847052791181008,238,517,294,381,-24,-51
59,0.7612790286440311,596,444,381,163,17,-75
60,0.13246886461523277,418,69,351,306,-79,88
61,0.8432559432710992,196,343,211,46,89,28
62,0.4184821828480245,78,502,359,124,-89,11
63,0.050150922168734846,269,187,413,417,79,71
64,0.6895728195658792,203,37,575,217,31,34
65,0.5675786355072697,573,158,321,413,74,-28
66,0.11345911782937668,16,248,350,372,27,32
67,0.6730443319199961,390,485,167,428,16,81
68,0.14326753344990506,236,221,251,398,72,60
69,0.7754825765115804,610,424,181,174,66,-39
70,0.08547839607275098,343,458,597,35,12,47
71,0.09145768116566666,561,483,348,117,-17,-24
72,0.5868214042327736,438,37,513,227,65,-57
73,0.6633427401531967,250,377,238,372,-63,-35
74,0.11253976789354958,32,238,219,101,66,80
75,0.7734763692972263,170,122,3,168,-10,-39
76,0.07136687719102064,608,92,558,617,2,-19
77,0.15330304308846032,559,447,8,1,95,44
78,0.21689695452812074,461,177,370,577,85,-44
79,0.5426152885978212,353,451,341,27,66,-29
80,0.16823804457752956,431,310,275,573,-94,-38
81,0.06889775711425339,168,70,480,181,-52,71
82,0.38668103747535787,613,503,325,451,-34,-93
83,0.49868762204149397,592,487,568,440,-12,97
84,0.46826454226101744,309,336,19,283,29,-20
85,0.7221595596154999,444,565,557,165,-54,-61
86,0.265848405717483,387,305,583,485,-46,84
87,0.35720267427012875,429,346,380,156,18,87
88,0.24268439413343157,501,404,222,156,47,-82
89,0.9720598033363244,33,281,73,253,-40,55
90,0.18532426073414132,199,95,437,305,8,-46
91,0.7444060122087778,545,348,122,48,-62,-15
92,0.8159843335953099,250,350,381,593,-84,-82
93,0.5372540757196304,455,444,107,353,24,-67
94,0.2931905563096161,177,205,241,573,83,89
95,0.06374507095281257,471,272,457,560,-58,50
96,0.19124571098712773,377,288,474,255,78,0
97,0.7341778549411345,561,620,172,419,-5,42
98,0.5352312628040206,499,527,369,224,-37,-63
99,0.7134832247547591,592,327,414,97,-1,-70
100,0.4067497426718766,156,551,212,120,50,-82
