T[s],confidence,x1,y1,x2,y2,left-motor,right-motor
1,0.9733469616056007,399,245,461,426,-20,95
2,0.7089277613929951,181,54,93,619,-67,-90
3,0.8362165312864143,321,93,162,32,-38,-49
4,0.2862372697868891,275,311,371,101,-61,70
5,0.07418764166696201,354,534,24,97,41,80
6,0.24827328018264716,463,437,127,544,-48,17
7,0.5157398469569682,488,190,148,314,12,77
8,0.2622824294259051,155,267,336,407,-16,-95
9,0.12027349177196578,228,16,590,238,-51,-9
10,0.4288526602899718,359,445,87,69,49,-37
11,0.5836298879653494,207,437,369,484,87,38
12,0.2741138890469894,300,617,234,169,-70,-72
13,0.9905778872354659,143,387,555,383,75,-32
14,0.7741405059094966,566,31,106,294,-3,79
15,0.3416642563086947,116,480,527,476,-19,13
16,0.8919070652808202,313,340,465,292,44,82
17,0.30700746034684445,149,140,245,149,-73,16
18,0.28703220373280036,208,585,53,209,29,-63
19,0.22453343001720505,44,424,209,187,-63,-5
20,0.6017923951535579,407,254,309,605,-52,-7
21,0.8161421001246321,174,279,527,460,91,-89
22,0.7851632966789853,451,209,396,424,46,97
23,0.5379450634740713,478,26,337,219,97,74
24,0.4765753161966064,44,253,308,200,-21,-89
25,0.0401616683877245,547,555,158,134,-53,21
26,0.02108976584637212,609,313,444,93,-10,-77
27,0.2595620735275235,203,514,27,454,30,-68
28,0.2553010638726485,491,428,488,371,-3,83
29,0.45909655183583464,119,189,450,167,-15,87
30,0.7522251027303919,277,497,94,469,19,-87
31,0.008886761378635089,231,118,509,66,-90,-83
32,0.837468135581503,231,482,257,278,-53,34
33,0.5331019592223974,420,214,485,93,-96,-57
34,0.07381710121643303,390,522,425,491,-7,32
35,0.03902000544627848,257,298,572,370,-94,20
36,0.6075518159662356,378,394,218,111,24,-70
37,0.08503323915076211,441,505,82,237,-93,-51
38,0.25874786625621027,467,124,60,480,-40,51
39,0.4743029306527101,574,22,147,172,21,73
40,0.8394530217735153,562,310,171,546,67,73
41,0.9614301971434216,15,189,504,114,90,-65
42,0.8206360041576447,602,126,522,146,98,54
43,0.5883383125321382,258,222,371,139,-99,71
44,0.11844277618418031,317,315,348,81,-3,39
45,0.904599544438124,300,12,384,60,16,-5
46,0.9072611789371378,428,153,437,478,-99,18
47,0.015868321365153926,405,5,438,436,-77,-65
48,0.8943946895191415,421,421,431,363,91,-92
49,0.05696174860902281,217,471,158,299,-6,52
50,0.17332380479257947,334,416,215,69,45,-4
51,0.25142105544703197,90,238,422,559,9,-94
52,0.44408000042109685,208,318,363,48,76,-29
53,0.3786277234566241,447,423,243,340,-30,0
54,0.5500437211262311,449,121,548,460,-45,22
55,0.18086698186525774,119,446,66,309,29,-64
56,0.8124143370639464,284,240,261,522,-5,-25
57,0.9139375974168922,585,75,132,616,13,35
58,0.9090069198973428,157,597,429,143,29,66
59,0.8635272994324539,411,553,395,234,-96,-65
60,0.3946330247808175,191,57,7,398,82,80
61,0.6314639166933487,510,606,342,307,-76,-58
62,0.7692589653027334,427,552,407,165,1,-63
63,0.22054616167322139,97,22,127,222,-8,64
64,0.5084810067163762,15,374,501,320,-56,1
65,0.3109790101620111,407,532,97,589,12,10
66,0.4772214214368099,136,574,482,152,-2,-7
67,0.5076821340337396,126,578,420,186,27,35
68,0.09014355270720442,612,557,244,148,-30,77
69,0.44345965884878147,289,443,556,229,61,58
70,0.25948959515873693,102,522,243,282,41,68
71,0.3639452675482415,254,550,205,222,59,-46
72,0.8552729098930029,111,532,433,592,98,-46
73,0.3427117424949214,563,345,580,158,24,59
74,0.6428168386834775,602,238,327,92,91,92
75,0.261977108855758,547,537,454,197,79,-41
76,0.5132588016410838,153,158,366,293,-71,-29
77,0.8629224529838174,593,426,169,469,-76,28
78,0.9659391899222678,65,99,410,110,93,11
79,0.34866462787219343,107,331,117,519,-41,75
80,0.9074089143779839,100,618,534,286,-8,-39
81,0.6815555715720348,596,435,458,83,-45,-14
82,0.6769395950985493,226,43,36,96,-64,88
83,0.7489889800155751,556,368,80,363,-2,95
84,0.06291917695049665,263,526,534,209,-58,-62
85,0.8144512426042083,491,267,222,271,24,-23
86,0.35492949287317965,261,154,603,213,21,28
87,0.27203349253122855,15,403,374,477,-32,-57
88,0.7391834118966755,268,344,29,396,-82,18
89,0.4119372156488248,295,269,612,287,82,27
90,0.04774129238513103,510,87,235,203,23,72
91,0.2032165587000786,211,181,68,136,-8,64
92,0.37057440113013596,582,2,546,517,43,58
93,0.8666222502536268,580,241,219,341,-37,21
94,0.5356717232830962,112,278,450,306,-69,57
95,0.8103512409929652,131,149,199,408,-13,95
96,0.03901117223058015,265,459,499,88,-11,57
97,0.5110510374542445,549,256,107,476,-20,60
98,0.9872276892360596,210,51,459,618,-97,41
99,0.26627348248282734,372,484,421,321,52,18
100,0.7075315362783355,339,410,506,498,79,-100
