T[s],confidence,x1,y1,x2,y2,left-motor,right-motor
1,0.3126898000571643,601,537,110,11,98,-54
2,0.05054796031065978,11,327,80,158,-82,97
3,0.8242567923015954,600,211,229,379,93,40
4,0.36027940968623773,196,582,334,4,-60,-61
5,0.33430671050279137,31,500,78,329,73,-97
6,0.7121514058301055,524,468,536,26,-95,74
7,0.9450552035755558,257,477,167,487,-55,41
8,0.19028730074171807,515,314,482,502,56,73
9,0.34968570777498176,555,446,445,413,32,-99
10,0.36968514109914363,280,479,482,167,96,-90
11,0.8313203057668052,404,152,259,53,-69,-60
12,0.050580927257314556,178,291,401,58,-66,16
13,0.4927986891081201,8,379,103,46,81,74
14,0.23335316350765678,422,603,546,155,53,77
15,0.7341528113846596,155,542,377,193,-42,-6
16,0.5603315723250556,9,339,224,457,-99,-89
17,0.7528635959238911,159,217,567,394,75,-19
18,0.4480441046721867,133,269,19,271,-4,-63
19,0.2912124491619844,273,284,584,123,19,81
20,0.8845765779497029,81,448,171,487,80,-97
21,0.7635807742007078,248,120,185,37,-41,-100
22,0.7467979237760777,189,261,422,607,99,29
23,0.6020285445106462,154,61,108,16,-5,84
24,0.4789386427597869,161,358,267,76,-53,78
25,0.4401885494565726,221,285,558,425,38,4
26,0.6550169650131404,144,617,319,463,-8,-21
27,0.2934502456930518,587,169,446,575,-26,-41
28,0.8891638510508965,295,101,470,596,48,-32
29,0.3383285450086412,481,395,31,30,74,-77
30,0.45824414135184743,603,285,116,90,8,-68
31,0.9002110085822914,14,104,153,563,89,74
32,0.7377270455230736,152,172,563,495,-26,86
33,0.7681244557479658,610,287,402,94,0,51
34,0.4368171535268234,5,607,76,279,89,-90
35,0.4028170060750843,561,375,73,93,-11,-79
36,0.5639481258509114,251,575,302,186,79,-49
37,0.8293959400455031,199,362,148,322,-78,73
38,0.37959624311565787,459,290,571,264,66,-49
39,0.19896038004208116,506,442,565,574,-20,-46
40,0.7060626663237776,602,39,27,120,17,49
41,0.40301990873611016,368,213,294,197,88,84
42,0.06812253827793091,170,225,57,596,52,85
43,0.6485020079011783,242,450,609,324,65,-59
44,0.26505515478640584,561,414,394,189,-32,-67
45,0.49599677379101703,478,599,404,150,85,82
46,0.7834036510435772,107,84,517,472,53,-8
47,0.36671154405335205,509,604,94,28,-29,-76
48,0.12591204670633427,520,525,15,390,74,33
49,0.747891087762055,347,293,567,281,72,-46
50,0.39528459422537066,519,412,325,313,43,-48
51,0.3376064221895959,408,221,518,469,1,71
52,0.3699461535951618,115,33,569,31,57,55
53,0.07846914875645838,70,135,431,111,-60,55
54,0.40683301452102516,604,30,616,165,-58,-9
55,0.38367607070398835,193,345,413,140,83,2
56,0.6113447921351985,173,272,583,106,-21,-54
57,0.03976430388736196,524,377,156,39,78,-67
58,0.3738820660408395,207,445,541,178,-83,-93
59,0.38272147555714053,228,379,55,430,-58,80
60,0.7734829398582176,241,373,338,80,-11,-88
61,0.27076229405810104,43,315,530,174,-1,-46
62,0.4631794221514789,414,66,181,538,-92,-86
63,0.3658446326623598,173,447,305,114,5,61
64,0.5369001438358136,276,413,266,256,96,94
65,0.8458359912313023,510,87,68,59,-29,22
66,0.19080519489135206,498,361,396,482,24,54
67,0.1154995018818128,168,7,115,496,-83,79
68,0.4037639179076068,517,82,36,440,-35,62
69,0.10943506480649312,459,269,333,139,77,18
70,0.4009650558134097,560,124,340,441,-22,-52
71,0.7452055999743995,4,565,237,579,-67,98
72,0.7569359000647722,527,227,442,552,-29,-22
73,0.6929914547591923,278,554,281,424,-54,18
74,0.22381528582697718,469,300,148,253,31,-97
75,0.5430969837903818,546,153,129,521,6,74
76,0.7367624027165128,165,373,467,274,0,-87
77,0.9422123647506478,254,607,462,202,-48,-85
78,0.22895654508820373,400,147,495,405,-57,94
79,0.7359810225974975,238,135,254,618,94,98
80,0.8190980624290107,618,345,14,120,-10,-26
81,0.09504911104836866,169,287,465,223,-10,79
82,0.784934413525358,327,253,415,217,22,-23
83,0.28875451705368116,595,269,473,144,24,36
84,0.43857994593890837,548,146,296,100,27,76
85,0.03816762081116587,479,100,154,353,45,-52
86,0.39072305702005106,271,259,198,483,52,-39
87,0.8804460139877284,279,613,586,257,-11,-100
88,0.3460696108182404,47,0,528,388,-75,-71
89,0.3875233870360548,188,378,260,361,-96,59
90,0.4417964267443969,349,186,156,27,48,21
91,0.43234591630800623,102,336,205,62,-98,33
92,0.5504153965107046,271,316,575,102,16,35
93,0.73904324126351,303,534,325,125,-50,-73
94,0.7583114317841,400,598,130,260,43,3
95,0.16366523385999177,584,550,49,512,29,-8
96,0.6357652753071268,282,179,336,591,-37,-47
97,0.8354123594332612,297,391,465,33,30,76
98,0.6865432895790927,151,287,363,68,-77,-62
99,0.326634851997208,454,494,78,338,-30,-37
100,0.5414032345205771,429,43,43,165,1,-55
