T[s],confidence,x1,y1,x2,y2,left-motor,right-motor
1,0,0,0,0,0,80,80
2,0,0,0,0,0,80,80
3,0.9207919904912215,26,368,218,108,95,43
4,0,0,0,0,0,80,80
5,0,0,0,0,0,80,80
6,0,0,0,0,0,80,80
7,0,0,0,0,0,80,80
8,0,0,0,0,0,80,80
9,0.7839195210121894,496,38,487,95,53,-6
10,0,0,0,0,0,80,80
11,0.827434401612004,252,142,114,613,48,91
12,0.7769199191525014,587,354,395,431,58,-12
13,0,0,0,0,0,80,80
14,0,0,0,0,0,80,80
15,0.9503723043036713,515,310,295,570,62,-10
16,0,0,0,0,0,80,80
17,0,0,0,0,0,80,80
18,0,0,0,0,0,80,80
19,0,0,0,0,0,80,80
20,0.7354643025628188,275,463,112,205,-75,100
21,0.9481743296635675,205,552,16,501,0,-45
22,0,0,0,0,0,80,80
23,0,0,0,0,0,80,80
24,0,0,0,0,0,80,80
25,0.6965944120471282,349,19,320,97,-6,-30
26,0,0,0,0,0,80,80
27,0.7737022574817639,43,20,409,344,81,67
28,0,0,0,0,0,80,80
29,0,0,0,0,0,80,80
30,0.8566166650920694,566,252,84,144,-4,55
31,0,0,0,0,0,80,80
32,0,0,0,0,0,80,80
33,0,0,0,0,0,80,80
34,0,0,0,0,0,80,80
35,0,0,0,0,0,80,80
36,0,0,0,0,0,80,80
37,0.6877401149061048,413,223,54,214,52,96
38,0.8907371113933031,53,384,393,48,-59,-27
39,0,0,0,0,0,80,80
40,0,0,0,0,0,80,80
41,0.8801453486980279,282,414,609,90,99,-85
42,0,0,0,0,0,80,80
43,0.7600932482304424,382,374,605,604,-60,-80
44,0,0,0,0,0,80,80
45,0,0,0,0,0,80,80
46,0.7383191538207883,174,602,281,535,-97,45
47,0.9635682491381521,46,357,446,53,-66,-97
48,0,0,0,0,0,80,80
49,0,0,0,0,0,80,80
50,0.8250860732533671,171,157,191,369,47,-29
51,0.7162836586327277,153,323,266,593,-1,-43
52,0,0,0,0,0,80,80
53,0,0,0,0,0,80,80
54,0,0,0,0,0,80,80
55,0,0,0,0,0,80,80
56,0.8836483468800063,113,591,414,608,-2,67
57,0.7327687971883202,36,27,520,292,-55,54
58,0,0,0,0,0,80,80
59,0,0,0,0,0,80,80
60,0,0,0,0,0,80,80
61,0,0,0,0,0,80,80
62,0.6673269930606848,34,562,104,420,97,97
63,0,0,0,0,0,80,80
64,0,0,0,0,0,80,80
65,0,0,0,0,0,80,80
66,0.8626097047491622,475,3,218,375,-38,-93
67,0,0,0,0,0,80,80
68,0,0,0,0,0,80,80
69,0,0,0,0,0,80,80
70,0,0,0,0,0,80,80
71,0,0,0,0,0,80,80
72,0,0,0,0,0,80,80
73,0,0,0,0,0,80,80
74,0,0,0,0,0,80,80
75,0,0,0,0,0,80,80
76,0,0,0,0,0,80,80
77,0,0,0,0,0,80,80
78,0.9685758387905943,40,545,88,124,91,24
79,0.6702655292888506,567,504,21,321,76,-23
80,0.9352554183565399,609,225,231,164,-85,71
81,0,0,0,0,0,80,80
82,0,0,0,0,0,80,80
83,0,0,0,0,0,80,80
84,0,0,0,0,0,80,80
85,0.6324379057420861,125,588,460,475,-43,-88
86,0,0,0,0,0,80,80
87,0.8607844183323439,452,581,232,456,-80,-45
88,0,0,0,0,0,80,80
89,0,0,0,0,0,80,80
90,0,0,0,0,0,80,80
91,0.9162328875109561,240,80,553,204,-3,-15
92,0,0,0,0,0,80,80
93,0.9774930369971545,176,395,407,66,-13,-68
94,0,0,0,0,0,80,80
95,0,0,0,0,0,80,80
96,0,0,0,0,0,80,80
97,0,0,0,0,0,80,80
98,0.7266827560874489,32,146,219,188,51,-68
99,0.7857309060851956,82,178,103,63,-36,-14
100,0.712415253195368,11,249,122,364,43,-76
